keyword,cluster,intent,target_url,page_type,priority,target_term,volume_to_confirm,notes
"ct pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"ct pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"ct previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"ct quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"ct quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"ct end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"ct pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/ct/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"english 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"english 1 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"english 1 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"english 1 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 1 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 1 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 1 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"english 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"english 2 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"english 2 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"english 2 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 2 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 2 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"english 2 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"python pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"python pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"python previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"python quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"python quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"python end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"python pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/python/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"dbms pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"dbms pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"dbms previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"dbms quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"dbms quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"dbms end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"dbms pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/dbms/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"pdsa pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"pdsa pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"pdsa previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"pdsa quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"pdsa quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"pdsa end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"pdsa pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"java pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"java pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"java previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"java quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"java quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"java end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"java pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/java/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"system commands pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"system commands pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"system commands previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"system commands quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"system commands quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"system commands end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"system commands pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"mad 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"mad 1 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 1 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 1 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 1 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 1 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 1 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-1/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"mad 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"mad 2 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 2 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 2 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 2 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 2 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mad 2 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mad-2/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"mlf pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"mlf pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlf previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlf quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlf quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlf end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlf pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlf/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"mlt pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"mlt pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlt previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlt quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlt quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlt end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlt pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlt/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"mlp pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"mlp pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlp previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlp quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlp quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlp end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"mlp pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"bdm pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"bdm pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"bdm previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"bdm quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"bdm quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"bdm end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"bdm pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/bdm/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"tds pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"tds pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"business analytics pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"business analytics pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"iitm oppe","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"what is oppe","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"oppe full form iit madras","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"how to prepare for oppe","C — OPPE","Informational","https://genziitian.in/blog/how-to-prepare-for-oppe/","How-to blog","P2","Evergreen — append papers each term","Yes",""
"oppe rules","C — OPPE","Informational","https://genziitian.in/blog/oppe-rules-environment/","How-to blog","P2","Evergreen — append papers each term","Maybe",""
